ZBTB8OS_2	ENSG00000176261
RBBP4_1	ENSG00000162521
RBBP4_2	ENSG00000162521
KIAA1522_1	ENSG00000162522
S100PBP_2	ENSG00000116497
YARS_1	ENSG00000134684
YARS_2	ENSG00000134684
S100PBP_3	ENSG00000116497
FNDC5_1	ENSG00000160097
FNDC5_2	ENSG00000160097
HPCA_2	ENSG00000121905
HPCA_1	ENSG00000121905
TMEM54_1	ENSG00000121900
RNF19B_1	ENSG00000116514
AK2_1	ENSG00000004455
AZIN2_1	ENSG00000142920
TRIM62_2	ENSG00000116525
TRIM62_1	ENSG00000116525
ZNF362_2	ENSG00000160094
ZNF362_1	ENSG00000160094
PHC2_1	ENSG00000134686
PHC2_2	ENSG00000134686
ZSCAN20_1	ENSG00000121903
CSMD2_1	ENSG00000121904
C1orf94_1	ENSG00000142698
C1orf94_2	ENSG00000142698
GJB5_1	ENSG00000189280
GJB3_1	ENSG00000188910
GJB3_3	ENSG00000188910
GJB3_2	ENSG00000188910
GJA4_1	ENSG00000187513
TMEM35B_1	ENSG00000243749
ZMYM6_1	ENSG00000163867
ZMYM6_2	ENSG00000163867
ZMYM1_1	ENSG00000197056
AGO4_1	ENSG00000134698
SFPQ_1	ENSG00000116560
KIAA0319L_2	ENSG00000142687
KIAA0319L_1	ENSG00000142687
NCDN_1	ENSG00000020129
NCDN_2	ENSG00000020129
TFAP2E_1	ENSG00000116819
PSMB2_1	ENSG00000126067
C1orf216_1	ENSG00000142686
CLSPN_1	ENSG00000092853
AGO4_2	ENSG00000134698
AGO4_3	ENSG00000134698
AGO1_2	ENSG00000092847
AGO1_1	ENSG00000092847
AGO3_2	ENSG00000126070
AGO3_1	ENSG00000126070
AGO3_3	ENSG00000126070
TEKT2_1	ENSG00000092850
ADPRHL2_1	ENSG00000116863
COL8A2_2	ENSG00000171812
COL8A2_1	ENSG00000171812
TRAPPC3_1	ENSG00000054116
MAP7D1_2	ENSG00000116871
MAP7D1_1	ENSG00000116871
THRAP3_1	ENSG00000054118
STK40_3	ENSG00000196182
STK40_1	ENSG00000196182
STK40_2	ENSG00000196182
LSM10_1	ENSG00000181817
OSCP1_1	ENSG00000116885
MRPS15_1	ENSG00000116898
GRIK3_1	ENSG00000163873
ZC3H12A_2	ENSG00000163874
ZC3H12A_1	ENSG00000163874
MEAF6_1	ENSG00000163875
SNIP1_1	ENSG00000163877
DNALI1_1	ENSG00000163879
GNL2_1	ENSG00000134697
RSPO1_2	ENSG00000169218
RSPO1_1	ENSG00000169218
